Filtered Text
Text McCanns Oatmeal is a good quality choice  Our favorite is the Apples and Cinnamon but we find that none of these are overly sugary  For a good hot breakfast in 2 minutes this is excellent
ProductId B001EO5QW8
ProfileName D Leschke
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary Great taste and convenience
Text We really like the McCanns steel cut oats but find we dont cook it up too oftenbr This tastes much better to me than the grocery store brands and is just as convenientbr Anything that keeps me eating oatmeal regularly is a good thing
ProductId B001EO5QW8
ProfileName K A Freel
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 3
Summary Hearty Oatmeal
Text This seems a little more wholesome than some of the supermarket brands but it is somewhat mushy and doesnt have quite as much flavor either  It didnt pass muster with my kids so I probably wont buy it again
ProductId B001EO5QW8
ProfileName grumpyrainbow
HelpfulnessNumerator 0
HelpfulnessDenominator 0
Score 5
Summary good
Text Good oatmeal  I like the apple cinnamon the best  Though I wouldnt follow the directions on the package since it always comes out too soupy for my taste  That could just be me since I like my oatmeal really thick to add some milk on top of
ProductId B001EO5QW8
ProfileName kbogo shoelover
HelpfulnessNumerator 1
HelpfulnessDenominator 2
Score 3
Summary Mushy
Text The flavors are good  However I do not see any differce between this and Oaker Oats brand  they are both mushy
ProductId B001EO5QW8
ProfileName knitty pants
HelpfulnessNumerator 1
HelpfulnessDenominator 2
Score 4
Summary Very good but next time I wont order the Variety Pack
Text I really like the Maple and Brown Sugar flavor The regular is fine with brown sugar added The Apples and Cinnamon flavor is OK This is a very quick easy and satisfying breakfast and Ill order this brand again but not the variety Ill get all Maple and Brown Sugar
