Tokenized POS Text
"[('ProductId', 'NNP'), ('B001E4KFG0', 'NNP')]"
"[('Summary', 'JJ'), ('Cough', 'NNP'), ('Medicine', 'NNP')]"
"[('Text', 'NNP'), ('looking', 'VBG'), ('secret', 'JJ'), ('ingredient', 'NN'), ('Robitussin', 'NNP'), ('believe', 'VBP'), ('found', 'VBN'), ('got', 'VBD'), ('addition', 'NN'), ('Root', 'NNP'), ('Beer', 'NNP'), ('Extract', 'NNP'), ('ordered', 'VBD'), ('good', 'JJ'), ('made', 'VBN'), ('cherry', 'NN'), ('soda', 'NN'), ('flavor', 'NN'), ('medicinal', 'NN')]"
"[('ProductId', 'NNP'), ('B006K2ZZ7K', 'NNP')]"
"[('ProfileName', 'NN'), ('Michael', 'NNP'), ('Bigham', 'NNP'), ('Wassir', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Great', 'NNP'), ('taffy', 'NN')]"
"[('Text', 'NNP'), ('Great', 'NNP'), ('taffy', 'JJ'), ('great', 'JJ'), ('price', 'NN'), ('wide', 'JJ'), ('assortment', 'NN'), ('yummy', 'NN'), ('taffy', 'NN'), ('Delivery', 'NNP'), ('quick', 'NN'), ('taffy', 'NN'), ('lover', 'NN'), ('deal', 'NN')]"
"[('ProductId', 'NNP'), ('B006K2ZZ7K', 'NNP')]"
"[('ProfileName', 'NN'), ('Twoapennything', 'VBG')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('Nice', 'NNP'), ('Taffy', 'NNP')]"
"[('Text', 'NNP'), ('got', 'VBD'), ('wild', 'JJ'), ('hair', 'NN'), ('taffy', 'NN'), ('ordered', 'VBD'), ('five', 'CD'), ('pound', 'NN'), ('bag', 'NN'), ('taffy', 'VBD'), ('enjoyable', 'JJ'), ('many', 'JJ'), ('flavors', 'NNS'), ('watermelon', 'VBP'), ('root', 'NN'), ('beer', 'NN'), ('melon', 'NN'), ('peppermint', 'NN'), ('grape', 'NN'), ('etc', 'FW'), ('complaint', 'NN'), ('bit', 'RB'), ('much', 'JJ'), ('redblack', 'NN'), ('licoriceflavored', 'VBD'), ('pieces', 'NNS'), ('particular', 'JJ'), ('favorites', 'NNS'), ('kids', 'NNS'), ('husband', 'RB'), ('lasted', 'VBD'), ('two', 'CD'), ('weeks', 'NNS'), ('would', 'MD'), ('recommend', 'VB'), ('brand', 'NN'), ('taffy', 'NN'), ('delightful', 'JJ'), ('treat', 'NN')]"
"[('ProductId', 'NNP'), ('B006K2ZZ7K', 'NNP')]"
"[('ProfileName', 'NN'), ('David', 'NNP'), ('C', 'NNP'), ('Sullivan', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Great', 'NNP'), ('good', 'JJ'), ('expensive', 'JJ'), ('brands', 'NNS')]"
"[('Text', 'NNP'), ('saltwater', 'NN'), ('taffy', 'NN'), ('great', 'JJ'), ('flavors', 'NNS'), ('soft', 'JJ'), ('chewy', 'NNS'), ('candy', 'VBP'), ('individually', 'RB'), ('wrapped', 'VBN'), ('well', 'RB'), ('None', 'NNP'), ('candies', 'NNS'), ('stuck', 'VBP'), ('together', 'RB'), ('happen', 'JJ'), ('expensive', 'JJ'), ('version', 'NN'), ('Fralingers', 'NNP'), ('Would', 'NNP'), ('highly', 'RB'), ('recommend', 'VBP'), ('candy', 'NN'), ('served', 'VBD'), ('beachthemed', 'JJ'), ('party', 'NN'), ('everyone', 'NN'), ('loved', 'VBD')]"
"[('ProductId', 'NNP'), ('B006K2ZZ7K', 'NNP')]"
"[('ProfileName', 'NNP'), ('Pamela', 'NNP'), ('G', 'NNP'), ('Williams', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Wonderful', 'NNP'), ('tasty', 'NN'), ('taffy', 'NN')]"
"[('Text', 'NNP'), ('taffy', 'NN'), ('good', 'JJ'), ('soft', 'JJ'), ('chewy', 'NN'), ('flavors', 'NNS'), ('amazing', 'VBG'), ('would', 'MD'), ('definitely', 'RB'), ('recommend', 'VB'), ('buying', 'NN'), ('satisfying', 'NN')]"
"[('ProductId', 'NNP'), ('B000E7L2R4', 'NNP')]"
"[('ProfileName', 'NNP'), ('R', 'NNP'), ('James', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Yay', 'NNP'), ('Barley', 'NNP')]"
"[('Text', 'RB'), ('Right', 'NNP'), ('Im', 'NNP'), ('mostly', 'RB'), ('sprouting', 'VBG'), ('cats', 'NNS'), ('eat', 'VBP'), ('grass', 'NN'), ('love', 'NN'), ('rotate', 'NN'), ('around', 'IN'), ('Wheatgrass', 'NNP'), ('Rye', 'NNP')]"
"[('ProductId', 'NNP'), ('B00171APVA', 'NNP')]"
"[('ProfileName', 'NNP'), ('Carol', 'NNP'), ('Reed', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'NNP'), ('Healthy', 'NNP'), ('Dog', 'NNP'), ('Food', 'NNP')]"
"[('Text', 'NNP'), ('healthy', 'JJ'), ('dog', 'NN'), ('food', 'NN'), ('Good', 'NNP'), ('digestion', 'NN'), ('Also', 'RB'), ('good', 'JJ'), ('small', 'JJ'), ('puppies', 'NNS'), ('dog', 'VBP'), ('eats', 'NNS'), ('required', 'VBD'), ('amount', 'NN'), ('every', 'DT'), ('feeding', 'NN')]"
"[('ProductId', 'NNP'), ('B0001PB9FE', 'NNP')]"
"[('ProfileName', 'NNP'), ('Canadian', 'NNP'), ('Fan', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Best', 'NNP'), ('Hot', 'NNP'), ('Sauce', 'NNP'), ('World', 'NNP')]"
"[('Text', 'NNP'), ('dont', 'NN'), ('know', 'VBP'), ('cactus', 'NN'), ('tequila', 'NN'), ('unique', 'JJ'), ('combination', 'NN'), ('ingredients', 'NNS'), ('flavour', 'VBP'), ('hot', 'JJ'), ('sauce', 'NN'), ('makes', 'VBZ'), ('one', 'CD'), ('kind', 'NN'), ('picked', 'VBD'), ('bottle', 'JJ'), ('trip', 'NN'), ('brought', 'VBD'), ('back', 'RP'), ('home', 'NN'), ('us', 'PRP'), ('totally', 'RB'), ('blown', 'VB'), ('away', 'RB'), ('realized', 'VBN'), ('simply', 'RB'), ('couldnt', 'JJ'), ('find', 'VBP'), ('anywhere', 'JJ'), ('city', 'NN'), ('bummedbr', 'NN'), ('br', 'NN'), ('magic', 'JJ'), ('internet', 'NN'), ('case', 'NN'), ('sauce', 'VB'), ('ecstatic', 'JJ'), ('itbr', 'NN'), ('br', 'NN'), ('love', 'VB'), ('hot', 'JJ'), ('sauceI', 'JJ'), ('mean', 'NN'), ('really', 'RB'), ('love', 'VB'), ('hot', 'JJ'), ('sauce', 'NNS'), ('dont', 'VBP'), ('want', 'VBP'), ('sauce', 'NN'), ('tastelessly', 'RB'), ('burns', 'VBZ'), ('throat', 'NN'), ('grab', 'NN'), ('bottle', 'NN'), ('Tequila', 'NNP'), ('Picante', 'NNP'), ('Gourmet', 'NNP'), ('de', 'FW'), ('Inclan', 'NNP'), ('realize', 'VBP'), ('taste', 'NN'), ('never', 'RB'), ('want', 'VBP'), ('use', 'NN'), ('saucebr', 'NN'), ('br', 'NN'), ('Thank', 'NNP'), ('personal', 'JJ'), ('incredible', 'JJ'), ('service', 'NN')]"
"[('ProductId', 'NNP'), ('B0009XLVG0', 'NNP')]"
"[('ProfileName', 'NNP'), ('Poeng', 'NNP'), ('SparkyGoHome', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('4', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('4', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('cats', 'NNS'), ('LOVE', 'NNP'), ('diet', 'VBD'), ('food', 'NN'), ('better', 'RBR'), ('regular', 'JJ'), ('food', 'NN')]"
"[('Text', 'NNP'), ('One', 'CD'), ('boys', 'NN'), ('needed', 'VBD'), ('lose', 'JJ'), ('weight', 'NN'), ('didnt', 'NN'), ('put', 'VBD'), ('food', 'NN'), ('floor', 'NN'), ('chubby', 'NN'), ('guy', 'NN'), ('proteinrich', 'JJ'), ('byproduct', 'NN'), ('food', 'NN'), ('higher', 'JJR'), ('skinny', 'NN'), ('boy', 'IN'), ('jump', 'NN'), ('higher', 'JJR'), ('food', 'NN'), ('sits', 'NNS'), ('going', 'VBG'), ('stale', 'NN'), ('really', 'RB'), ('go', 'VB'), ('food', 'NN'), ('chubby', 'NN'), ('boy', 'NN'), ('losing', 'VBG'), ('ounce', 'NN'), ('week', 'NN')]"
"[('ProductId', 'NNP'), ('B0009XLVG0', 'NNP')]"
"[('ProfileName', 'NNP'), ('LT', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('1', 'CD')]"
"[('Summary', 'JJ'), ('Cats', 'NNPS'), ('Fans', 'NNPS'), ('New', 'NNP'), ('Food', 'NNP')]"
"[('Text', 'NNP'), ('cats', 'NNS'), ('happily', 'RB'), ('eating', 'VBG'), ('Felidae', 'NNP'), ('Platinum', 'NNP'), ('two', 'CD'), ('years', 'NNS'), ('got', 'VBD'), ('new', 'JJ'), ('bag', 'NN'), ('shape', 'NN'), ('food', 'NN'), ('different', 'JJ'), ('tried', 'VBD'), ('new', 'JJ'), ('food', 'NN'), ('first', 'RB'), ('put', 'VBD'), ('bowls', 'RP'), ('bowls', 'JJ'), ('sit', 'NN'), ('full', 'JJ'), ('kitties', 'NNS'), ('touch', 'JJ'), ('food', 'NN'), ('Ive', 'NNP'), ('noticed', 'VBD'), ('similar', 'JJ'), ('reviews', 'NNS'), ('related', 'VBN'), ('formula', 'NN'), ('changes', 'NNS'), ('past', 'VBP'), ('Unfortunately', 'RB'), ('need', 'VBP'), ('find', 'VBP'), ('new', 'JJ'), ('food', 'NN'), ('cats', 'NNS'), ('eat', 'VBP')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('willie', 'VBD'), ('roadie', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('2', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('2', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('fresh', 'JJ'), ('greasy', 'NN')]"
"[('Text', 'RB'), ('good', 'JJ'), ('flavor', 'NN'), ('came', 'VBD'), ('securely', 'RB'), ('packed', 'VBN'), ('fresh', 'JJ'), ('delicious', 'JJ'), ('love', 'NN'), ('Twizzlers', 'NNS')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Lynrie', 'NNP'), ('Oh', 'NNP'), ('HELL', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('4', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('5', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Strawberry', 'NNP'), ('Twizzlers', 'NNP'), ('Yummy', 'NNP')]"
"[('Text', 'NNP'), ('Strawberry', 'NNP'), ('Twizzlers', 'NNP'), ('guilty', 'JJ'), ('pleasure', 'NN'), ('yummy', 'NN'), ('Six', 'NNP'), ('pounds', 'VBZ'), ('around', 'IN'), ('son', 'NN')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NN'), ('Brian', 'NNP'), ('Lee', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('4', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('5', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Lots', 'NNP'), ('twizzlers', 'NNS'), ('expect', 'VBP')]"
"[('Text', 'NNP'), ('daughter', 'NN'), ('loves', 'VBZ'), ('twizzlers', 'NNS'), ('shipment', 'JJ'), ('six', 'CD'), ('pounds', 'NNS'), ('really', 'RB'), ('hit', 'VBD'), ('spot', 'NN'), ('exactly', 'RB'), ('would', 'MD'), ('expectsix', 'VB'), ('packages', 'NNS'), ('strawberry', 'VBP'), ('twizzlers', 'NNS')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Erica', 'NNP'), ('Neathery', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('2', 'CD')]"
"[('Summary', 'JJ'), ('poor', 'JJ'), ('taste', 'NN')]"
"[('Text', 'NNP'), ('love', 'NN'), ('eating', 'VBG'), ('good', 'JJ'), ('watching', 'VBG'), ('TV', 'NN'), ('looking', 'VBG'), ('movies', 'NNS'), ('sweet', 'VBP'), ('like', 'IN'), ('transfer', 'NN'), ('zip', 'NN'), ('lock', 'NN'), ('baggie', 'NN'), ('stay', 'NN'), ('fresh', 'JJ'), ('take', 'NN'), ('time', 'NN'), ('eating', 'VBG')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Becca', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Love', 'NNP')]"
"[('Text', 'NNP'), ('satisfied', 'VBD'), ('Twizzler', 'NNP'), ('purchase', 'NN'), ('shared', 'VBD'), ('others', 'NNS'), ('enjoyed', 'RBR'), ('definitely', 'RB'), ('ordering', 'VBG')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Wolfee1', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('GREAT', 'NNP'), ('SWEET', 'NNP'), ('CANDY', 'NNP')]"
"[('Text', 'NN'), ('Twizzlers', 'NNP'), ('Strawberry', 'NNP'), ('childhood', 'VBD'), ('favorite', 'JJ'), ('candy', 'NN'), ('made', 'VBD'), ('Lancaster', 'NNP'), ('Pennsylvania', 'NNP'), ('Candies', 'NNP'), ('Inc', 'NNP'), ('one', 'CD'), ('oldest', 'JJS'), ('confectionery', 'NN'), ('Firms', 'NNP'), ('United', 'NNP'), ('States', 'NNPS'), ('Subsidiary', 'NNP'), ('Hershey', 'NNP'), ('Company', 'NNP'), ('Company', 'NNP'), ('established', 'VBD'), ('1845', 'CD'), ('Young', 'NNP'), ('Smylie', 'NNP'), ('also', 'RB'), ('make', 'VBP'), ('Apple', 'NNP'), ('Licorice', 'NNP'), ('Twists', 'NNP'), ('Green', 'NNP'), ('Color', 'NNP'), ('Blue', 'NNP'), ('Raspberry', 'NNP'), ('Licorice', 'NNP'), ('Twists', 'VBZ'), ('like', 'IN'), ('allbr', 'NN'), ('br', 'NN'), ('keep', 'VB'), ('dry', 'JJ'), ('cool', 'JJ'), ('place', 'NN'), ('recommended', 'VBD'), ('put', 'NN'), ('fridge', 'NN'), ('According', 'VBG'), ('Guinness', 'NNP'), ('Book', 'NNP'), ('Records', 'NNP'), ('longest', 'JJS'), ('Licorice', 'NNP'), ('Twist', 'NNP'), ('ever', 'RB'), ('made', 'VBD'), ('measured', 'JJ'), ('1200', 'CD'), ('Feet', 'NNP'), ('370', 'CD'), ('weighted', 'VBD'), ('100', 'CD'), ('Pounds', 'NNS'), ('45', 'CD'), ('Kg', 'NNP'), ('made', 'VBD'), ('Candies', 'NNPS'), ('Inc', 'NNP'), ('RecordBreaking', 'NNP'), ('Twist', 'NNP'), ('became', 'VBD'), ('Guinness', 'NNP'), ('World', 'NNP'), ('Record', 'NNP'), ('July', 'NNP'), ('19', 'CD'), ('1998', 'CD'), ('Product', 'NNP'), ('Kosher', 'NNP'), ('Thank', 'NNP')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Greg', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'NNP'), ('Home', 'NNP'), ('delivered', 'VBD'), ('twizlers', 'NNS')]"
"[('Text', 'NNP'), ('Candy', 'NNP'), ('delivered', 'VBD'), ('fast', 'RB'), ('purchased', 'VBN'), ('reasonable', 'JJ'), ('price', 'NN'), ('home', 'NN'), ('bound', 'NN'), ('unable', 'JJ'), ('get', 'NN'), ('store', 'NN'), ('perfect', 'NN')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('mom2emma', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'NNP'), ('Always', 'NNP'), ('fresh', 'VBP')]"
"[('Text', 'NNP'), ('husband', 'NN'), ('Twizzlers', 'NNP'), ('addict', 'VBP'), ('Weve', 'NNP'), ('bought', 'VBD'), ('many', 'JJ'), ('times', 'NNS'), ('Amazon', 'JJ'), ('government', 'NN'), ('employees', 'NNS'), ('living', 'VBG'), ('overseas', 'RB'), ('cant', 'JJ'), ('get', 'VB'), ('country', 'NN'), ('assigned', 'VBN'), ('Theyve', 'NNP'), ('always', 'RB'), ('fresh', 'VBP'), ('tasty', 'JJ'), ('packed', 'VBN'), ('well', 'RB'), ('arrive', 'JJ'), ('timely', 'JJ'), ('manner', 'NN')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Tammy', 'NNP'), ('Anderson', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('TWIZZLERS', 'NNS')]"
"[('Text', 'NNP'), ('bought', 'VBD'), ('husband', 'NN'), ('currently', 'RB'), ('overseas', 'JJ'), ('loves', 'NNS'), ('apparently', 'RB'), ('staff', 'NN'), ('likes', 'VBZ'), ('alsobr', 'RB'), ('generous', 'JJ'), ('amounts', 'NNS'), ('Twizzlers', 'VBZ'), ('16ounce', 'CD'), ('bag', 'NN'), ('well', 'RB'), ('worth', 'JJ'), ('price', 'NN'), ('hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers', 'NNS'), ('Strawberry', 'NNP'), ('16Ounce', 'CD'), ('Bags', 'NNP'), ('Pack', 'NNP'), ('6a', 'CD')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NN'), ('Charles', 'NNP'), ('Brown', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'NNP'), ('Delicious', 'NNP'), ('product', 'NN')]"
"[('Text', 'NN'), ('remember', 'VB'), ('buying', 'VBG'), ('candy', 'NN'), ('kid', 'NN'), ('quality', 'NN'), ('hasnt', 'NN'), ('dropped', 'VBD'), ('years', 'NNS'), ('Still', 'RB'), ('superb', 'VBP'), ('product', 'NN'), ('wont', 'NN'), ('disappointed', 'VBD')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NN'), ('Mares', 'NNS')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Twizzlers', 'NNS')]"
"[('Text', 'NNP'), ('love', 'NN'), ('candy', 'NN'), ('weight', 'VBD'), ('watchers', 'NNS'), ('cut', 'VBD'), ('back', 'RP'), ('still', 'RB'), ('craving', 'VBG')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Cabanaugh', 'NNP'), ('jilly', 'RB'), ('pepper', 'VBP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Please', 'NNP'), ('sell', 'VB'), ('Mexico', 'NNP')]"
"[('Text', 'NNP'), ('lived', 'VBD'), ('US', 'NNP'), ('7', 'CD'), ('yrs', 'NN'), ('miss', 'NN'), ('Twizzlers', 'NNP'), ('go', 'VBP'), ('back', 'RB'), ('visit', 'RB'), ('someone', 'NN'), ('visits', 'NNS'), ('always', 'RB'), ('stock', 'NN'), ('say', 'VBP'), ('YUMbr', 'NNP'), ('Sell', 'NNP'), ('Mexico', 'NNP'), ('faithful', 'JJ'), ('buyer', 'NN'), ('often', 'RB'), ('Im', 'NNP'), ('able', 'JJ'), ('buy', 'NN'), ('right', 'NN')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Deborah', 'NNP'), ('Linzer', 'NNP'), ('Cat', 'NNP'), ('Lady', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Twizzlers', 'NNS'), ('Strawberry', 'VBP')]"
"[('Text', 'NNP'), ('Product', 'NNP'), ('received', 'VBD'), ('advertisedbr', 'JJ'), ('br', 'NN'), ('hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers', 'NNS'), ('Strawberry', 'VBP'), ('16Ounce', 'CD'), ('Bags', 'NNP'), ('Pack', 'NNP'), ('6a', 'CD')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('lady21', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('1', 'CD')]"
"[('Summary', 'NNP'), ('Nasty', 'NNP'), ('flavor', 'NN')]"
"[('Text', 'NNP'), ('candy', 'NN'), ('red', 'VBD'), ('flavor', 'NN'), ('plan', 'NN'), ('chewy', 'NN'), ('would', 'MD'), ('never', 'RB'), ('buy', 'VB')]"
"[('ProductId', 'NNP'), ('B001GVISJM', 'NNP')]"
"[('ProfileName', 'NNP'), ('Heather', 'NNP'), ('Dube', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('Great', 'NNP'), ('Bargain', 'NNP'), ('Price', 'NNP')]"
