neg,neu,pos,compound,Text,Processed_Text
0.02,0.854,0.127,0.9041,aboutproduct fast charger data syncwith builtin safeti proctect fourcor copper wire promot maximum signal qualiti strength enhanc charg data transfer speed 480 mb transfer speed compatibilitycompat iphon 13 1211 x 8 7 6 5 ipad air pro mini io devic sturdi durableth jacket enforc connector made tpe premium copper resist repeatedli bend coil ultra high qualiti accord experiment result fishbon design accept least 20000 bend insert test extra protect durabl upgrad 3d aluminum connector exclus laser weld technolog ensur metal part wont break also tighter connect fit well even protect case never loos connect good sale serviceour friendli reliabl custom servic respond within 24 hour purchas confidenceand everi sale includ 365day worryfre servic prove import set qualiti,aboutproduct fast charger data syncwith builtin safeti proctect fourcor copper wire promot maximum signal qualiti strength enhanc charg data transfer speed mb transfer speed compatibilitycompat iphon x ipad air pro mini io devic sturdi durableth jacket enforc connector made tpe premium copper resist repeatedli bend coil ultra high qualiti accord experiment result fishbon design accept least bend insert test extra protect durabl upgrad d aluminum connector exclus laser weld technolog ensur metal part wont break also tighter connect fit well even protect case never loos connect good sale serviceour friendli reliabl custom servic respond within hour purchas confidenceand everi sale includ day worryfre servic prove import set qualiti
0.0,1.0,0.0,0.0,productlink httpswwwamazoninsounceiphonechargingcompatibledevicesdpb096msw6ctrefsr13qid1672909124selectronicssr13,productlink httpswwwamazoninsounceiphonechargingcompatibledevicesdpbmswctrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b08hdj86nz,productid bhdjnz
0.098,0.842,0.06,-0.2732,productnam boat deuc usb 300 2 1 typec micro usb stress resist tanglefre sturdi cabl 3a fast charg 480mbp data transmiss 10000 bend lifespan extend 15m lengthmartian red,productnam boat deuc usb typec micro usb stress resist tanglefre sturdi cabl a fast charg mbp data transmiss bend lifespan extend m lengthmartian red
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 42,rate
0.0,1.0,0.0,0.0,ratingcount 94363,ratingcount
0.014,0.833,0.153,0.9042,aboutproduct boat deuc usb 300 2 1 cabl compat smartphon tablet pc peripher bluetooth speaker power bank devic typec well micro usb portit ensur 3a fast charg data transmiss rapid sync 480 mbpsthe premium nylon braid skin make sturdi invinc extern damageit aluminium alloy shell hous make last longer 10000 bend lifespan extend frame protect strain reliefth resili flexibl design offer tangl free experi seamlesslydeuc usb 300 cabl offer perfect 15 meter length smooth hasslefre user experience2 year warranti date purchas,aboutproduct boat deuc usb cabl compat smartphon tablet pc peripher bluetooth speaker power bank devic typec well micro usb portit ensur a fast charg data transmiss rapid sync mbpsthe premium nylon braid skin make sturdi invinc extern damageit aluminium alloy shell hous make last longer bend lifespan extend frame protect strain reliefth resili flexibl design offer tangl free experi seamlesslydeuc usb cabl offer perfect meter length smooth hasslefre user experience year warranti date purchas
0.0,1.0,0.0,0.0,productlink httpswwwamazonindeuce300resistanttanglefreetransmissiondpb08hdj86nzrefsr14qid1672909124selectronicssr14,productlink httpswwwamazonindeuceresistanttanglefreetransmissiondpbhdjnzrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b08cf3b7n1,productid bcfbn
0.0,0.926,0.074,0.0516,productnam portron konnect l 12m fast charg 3a 8 pin usb cabl charg sync function iphon ipad grey,productnam portron konnect l m fast charg a pin usb cabl charg sync function iphon ipad grey
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 42,rate
0.0,1.0,0.0,0.0,ratingcount 16905,ratingcount
0.0,0.8,0.2,0.9186,aboutproduct charg sync function cabl come charg data sync functionhigh qualiti materi tpe nylon materi make sure life cabl enhanc significantlylong cord cabl extra thick 12 meter long optim easi use comfort home officemor durablethi cabl uniqu interm design multius posit provid best comfort perform usingunivers compat compat devic like iphon xs x xr 8 7 6s 6 5s ipad pro ipad mini ipad air,aboutproduct charg sync function cabl come charg data sync functionhigh qualiti materi tpe nylon materi make sure life cabl enhanc significantlylong cord cabl extra thick meter long optim easi use comfort home officemor durablethi cabl uniqu interm design multius posit provid best comfort perform usingunivers compat compat devic like iphon xs x xr s s ipad pro ipad mini ipad air
0.0,1.0,0.0,0.0,productlink httpswwwamazoninportronicskonnectpor1080chargingfunctiondpb08cf3b7n1refsr15qid1672909124selectronicssr15,productlink httpswwwamazoninportronicskonnectporchargingfunctiondpbcfbnrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b08y1tfsp6,productid bytfsp
0.0,0.887,0.113,0.5106,productnam ptron solero tb301 3a typec data fast charg cabl made india 480mbp data sync strong durabl 15meter nylon braid usb cabl typec devic charg adapt black,productnam ptron solero tb a typec data fast charg cabl made india mbp data sync strong durabl meter nylon braid usb cabl typec devic charg adapt black
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 39,rate
0.0,1.0,0.0,0.0,ratingcount 24871,ratingcount
0.048,0.854,0.098,0.7351,aboutproduct fast charg data sync solero tb301 typec cabl support fast charg 5v3a devic data sync speed 480mbpsunivers compat usb charg cabl connect usb typec devic standard usb devic like laptop hard drive power bank wall car charger etcconnector one revers type cconnector two usb typerough tough typec cabl charg cabl doublebraid exterior premium aramid fiber core metal plug pass 10000 bend test easili withstand daili useextend length 15meter long ctype cabl use nylon materi protect wire avoid knotsperfect fit connector ptron soler usbc pass 5kg load test swing test 5000 time connect disconnect ensur loos connect,aboutproduct fast charg data sync solero tb typec cabl support fast charg va devic data sync speed mbpsunivers compat usb charg cabl connect usb typec devic standard usb devic like laptop hard drive power bank wall car charger etcconnector one revers type cconnector two usb typerough tough typec cabl charg cabl doublebraid exterior premium aramid fiber core metal plug pass bend test easili withstand daili useextend length meter long ctype cabl use nylon materi protect wire avoid knotsperfect fit connector ptron soler usbc pass kg load test swing test time connect disconnect ensur loos connect
0.0,1.0,0.0,0.0,productlink httpswwwamazoninsolerotb301charging480mbps15meterdpb08y1tfsp6refsr16qid1672909124selectronicssr16,productlink httpswwwamazoninsolerotbchargingmbpsmeterdpbytfsprefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b08wrwpm22,productid bwrwpm
0.0,1.0,0.0,0.0,productnam boat micro usb 55 tanglefre sturdi micro usb cabl 3a fast charg 480mbp data transmiss black,productnam boat micro usb tanglefre sturdi micro usb cabl a fast charg mbp data transmiss black
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 41,rate
0.0,1.0,0.0,0.0,ratingcount 15188,ratingcount
0.0,0.867,0.133,0.9186,aboutproduct ensur high speed transmiss charg offer 3a fast charg data transmiss rapid sync 480 mbpsthe braid skin make durabl invinc extern damag absolut hasslefre tangl free experienceit durabl pvc hous flexibl design make last 6 time longer cablesusb cabl offer perfect 15 meter length smooth hasslefre user experi superior charg data transfer tasksth compact smooth aluminium connector fit case seamlessli resist corros signal puritymicro usb 55 cabl offer univers compat compat android smartphon tablet pc peripher bluetooth speaker power bank game consol microusb enabl devices2 year warranti date purchas,aboutproduct ensur high speed transmiss charg offer a fast charg data transmiss rapid sync mbpsthe braid skin make durabl invinc extern damag absolut hasslefre tangl free experienceit durabl pvc hous flexibl design make last time longer cablesusb cabl offer perfect meter length smooth hasslefre user experi superior charg data transfer tasksth compact smooth aluminium connector fit case seamlessli resist corros signal puritymicro usb cabl offer univers compat compat android smartphon tablet pc peripher bluetooth speaker power bank game consol microusb enabl devices year warranti date purchas
0.0,1.0,0.0,0.0,productlink httpswwwamazoninboatmicrousbtanglefreetransmissiondpb08wrwpm22refsr18qid1672909124selectronicssr18,productlink httpswwwamazoninboatmicrousbtanglefreetransmissiondpbwrwpmrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b08ddrgwtj,productid bddrgwtj
0.0,1.0,0.0,0.0,productnam mi usb typec cabl smartphon black,productnam mi usb typec cabl smartphon black
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 43,rate
0.0,1.0,0.0,0.0,ratingcount 30411,ratingcount
0.0,1.0,0.0,0.0,aboutproduct 1m long typec usb cablesturdi durabl usb cabl transfer data speed upto 480 mbpsupto 3a output6month warrantysturdi durabl usb cabl transfer data speed upto 480 mbps6month warrantyup 3a output,aboutproduct m long typec usb cablesturdi durabl usb cabl transfer data speed upto mbpsupto a outputmonth warrantysturdi durabl usb cabl transfer data speed upto mbpsmonth warrantyup a output
0.0,1.0,0.0,0.0,productlink httpswwwamazoninmimtcy001inusbtypeccabledpb08ddrgwtjrefsr19qid1672909124selectronicssr19,productlink httpswwwamazoninmimtcyinusbtypeccabledpbddrgwtjrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b008ifxqfu,productid bifxqfu
0.0,1.0,0.0,0.0,productnam tplink usb wifi adapt pctlwn725n n150 wireless network adapt desktop nano size wifi dongl compat window 11107881xp mac os 1091015 linux kernel 2618443,productnam tplink usb wifi adapt pctlwnn n wireless network adapt desktop nano size wifi dongl compat window xp mac os linux kernel
0.0,1.0,0.0,0.0,categori computersaccessoriesnetworkingdevicesnetworkadapterswirelessusbadapt,categori computersaccessoriesnetworkingdevicesnetworkadapterswirelessusbadapt
0.0,1.0,0.0,0.0,rate 42,rate
0.0,1.0,0.0,0.0,ratingcount 179691,ratingcount
0.0,0.862,0.138,0.836,aboutproduct usb wifi adapt speedi wireless transmiss 150mbp ideal video stream internet callsmini design sleek miniatur design small plug left laptop usb portadvanc secur support 64128 wep wpa pa2wpapskwpa2psktkipaescompat window 11108187xp mac os 1015 earlier linuxeasi setup connect time easi setup util 14 languagesin unlik case product qualiti relat issu may ask reach brand custom servic support seek resolut requir brand proof issu process replac request,aboutproduct usb wifi adapt speedi wireless transmiss mbp ideal video stream internet callsmini design sleek miniatur design small plug left laptop usb portadvanc secur support wep wpa pawpapskwpapsktkipaescompat window xp mac os earlier linuxeasi setup connect time easi setup util languagesin unlik case product qualiti relat issu may ask reach brand custom servic support seek resolut requir brand proof issu process replac request
0.0,1.0,0.0,0.0,productlink httpswwwamazonintplinktlwn725n150mbpswirelessadapterdpb008ifxqfurefsr110qid1672909124selectronicssr110,productlink httpswwwamazonintplinktlwnnmbpswirelessadapterdpbifxqfurefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b082lzgk39,productid blzgk
0.0,1.0,0.0,0.0,productnam ambran unbreak 60w 3a fast charg 15m braid micro usb cabl smartphon tablet laptop micro usb devic 480mbp data sync quick charg 30 rcm15 black,productnam ambran unbreak w a fast charg m braid micro usb cabl smartphon tablet laptop micro usb devic mbp data sync quick charg rcm black
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 40,rate
0.0,1.0,0.0,0.0,ratingcount 43994,ratingcount
0.064,0.844,0.092,0.4367,aboutproduct univers compat compat micro usb enabl devic android smartphon tablet pc peripher micro usb compat deviceunbreak made special braid outer rug interior bind ultradur cabl wont affect daili rough usageid length ideal length 15 meter neither short like typic 1meter cabl long like 2meter cablesupport maximum 3a fast charg 480 mbp data transfer speed6 month manufactur warranti date purchas,aboutproduct univers compat compat micro usb enabl devic android smartphon tablet pc peripher micro usb compat deviceunbreak made special braid outer rug interior bind ultradur cabl wont affect daili rough usageid length ideal length meter neither short like typic meter cabl long like meter cablesupport maximum a fast charg mbp data transfer speed month manufactur warranti date purchas
0.0,1.0,0.0,0.0,productlink httpswwwamazoninambraneunbreakablechargingbraidedandroiddpb082lzgk39refsr111qid1672909124selectronicssr111,productlink httpswwwamazoninambraneunbreakablechargingbraidedandroiddpblzgkrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b08cf3d7qr,productid bcfdqr
0.0,0.926,0.074,0.0516,productnam portron konnect l por1081 fast charg 3a typec cabl 12meter charg sync function typec devic grey,productnam portron konnect l por fast charg a typec cabl meter charg sync function typec devic grey
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 43,rate
0.0,1.0,0.0,0.0,ratingcount 13391,ratingcount
0.0,0.789,0.211,0.8885,aboutproduct charg sync function cabl come charg data sync function smartphoneshigh qualiti materi tpe nylon materi make sure life cabl enhanc significantlylong cord cabl extra thick 12 meter long optim easi use comfort home officemor durablethi cabl uniqu interm design multius posit provid best comfort perform use,aboutproduct charg sync function cabl come charg data sync function smartphoneshigh qualiti materi tpe nylon materi make sure life cabl enhanc significantlylong cord cabl extra thick meter long optim easi use comfort home officemor durablethi cabl uniqu interm design multius posit provid best comfort perform use
0.0,1.0,0.0,0.0,productlink httpswwwamazoninportronicspor1081charging12meterfunctiondpb08cf3d7qrrefsr112qid1672909124selectronicssr112,productlink httpswwwamazoninportronicsporchargingmeterfunctiondpbcfdqrrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b0789lztcj,productid blztcj
0.103,0.897,0.0,-0.128,productnam boat rug v3 extra tough unbreak braid micro usb cabl 15 meter black,productnam boat rug v extra tough unbreak braid micro usb cabl meter black
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 42,rate
0.0,1.0,0.0,0.0,ratingcount 94363,ratingcount
0.06,0.788,0.151,0.8555,aboutproduct boat rug cabl featur special toughest polyethylen braid jacket uniqu jacket provid greater protect anyth els seen class round cableextra tough polyethylen terephthal cabl skin ensur 10000 plu bend lifespan stress stretch resistanceth boat rug micro usb cabl compat android smartphon window phone tablet pc peripher micro usb compat devices24a rapid charg fast data transmiss rapid speed sync devic speed 480mbpsboat rug micro usb cabl offer perfect 15 meter length optim easi use comfort home office2 year warranti date purchas,aboutproduct boat rug cabl featur special toughest polyethylen braid jacket uniqu jacket provid greater protect anyth els seen class round cableextra tough polyethylen terephthal cabl skin ensur plu bend lifespan stress stretch resistanceth boat rug micro usb cabl compat android smartphon window phone tablet pc peripher micro usb compat devicesa rapid charg fast data transmiss rapid speed sync devic speed mbpsboat rug micro usb cabl offer perfect meter length optim easi use comfort home office year warranti date purchas
0.0,1.0,0.0,0.0,productlink httpswwwamazoninruggedextratoughunbreakablebraideddpb0789lztcjrefsr113qid1672909124selectronicssr113,productlink httpswwwamazoninruggedextratoughunbreakablebraideddpblztcjrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b07ksmbl2h,productid bksmblh
0.0,1.0,0.0,0.0,productnam amazonbas flexibl premium hdmi cabl black 4k60hz 18gbp 3foot,productnam amazonbas flexibl premium hdmi cabl black khz gbp foot
0.0,1.0,0.0,0.0,categori electronicshometheatertvvideoaccessoriescableshdmic,categori electronicshometheatertvvideoaccessoriescableshdmic
0.0,1.0,0.0,0.0,rate 44,rate
0.0,1.0,0.0,0.0,ratingcount 426973,ratingcount
0.0,1.0,0.0,0.0,aboutproduct flexibl lightweight hdmi cabl connect media devic playback display hdtv projector morecompat bluray player comput appl tv roku cabl ps4 xbox one hdmicompat devicessolid copper conductor full metal jacket shield durabl highperform connectivitysupport ethernet 3d 4k video audio return channel arc meet latest hdmi standardssupport bandwidth 18gbp backward compat earlier versionsinclud 3 foot cabl,aboutproduct flexibl lightweight hdmi cabl connect media devic playback display hdtv projector morecompat bluray player comput appl tv roku cabl ps xbox one hdmicompat devicessolid copper conductor full metal jacket shield durabl highperform connectivitysupport ethernet d k video audio return channel arc meet latest hdmi standardssupport bandwidth gbp backward compat earlier versionsinclud foot cabl
0.0,1.0,0.0,0.0,productlink httpswwwamazoninamazonbasicsflexiblehdmicable3footdpb07ksmbl2hrefsr114qid1672909124selectronicssr114,productlink httpswwwamazoninamazonbasicsflexiblehdmicablefootdpbksmblhrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b085dtn6r2,productid bdtnr
0.0,0.891,0.109,0.4019,productnam portron konnect cl 20w por1067 typec 8 pin usb 12m cabl power deliveri 3a quick charg support nylon braid typec 8 pin devic green,productnam portron konnect cl w por typec pin usb m cabl power deliveri a quick charg support nylon braid typec pin devic green
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 42,rate
0.0,1.0,0.0,0.0,ratingcount 2262,ratingcount
0.0,0.81,0.19,0.9633,aboutproduct 20w pd fast chargingit support 20w pd quick charg protocol charg 50 around 30 minut ideal charg usb type c enabl devic maximum speedusbc 8 pin cabl offer rapid charg sync usb typec 8 pin enabl devic safe charg 3a ensur highstandard componentsmor durabl cabl uniqu interm design multius posit provid best comfort perform usingflex cord cabl use nylon braid metal hous materi make sure life cabl enhanc significantli 4mm extra thick slim 12meter longunivers compatibilitycharg type c usb connect devic includ macbook 12 inch nexu 5x nexu 6p oneplu 2 pixel c lumia 950 lumia 950 xl nokia n1 etc,aboutproduct w pd fast chargingit support w pd quick charg protocol charg around minut ideal charg usb type c enabl devic maximum speedusbc pin cabl offer rapid charg sync usb typec pin enabl devic safe charg a ensur highstandard componentsmor durabl cabl uniqu interm design multius posit provid best comfort perform usingflex cord cabl use nylon braid metal hous materi make sure life cabl enhanc significantli mm extra thick slim meter longunivers compatibilitycharg type c usb connect devic includ macbook inch nexu x nexu p oneplu pixel c lumia lumia xl nokia n etc
0.0,1.0,0.0,0.0,productlink httpswwwamazoninportronicskonnectdeliverysupportbraideddpb085dtn6r2refsr115qid1672909124selectronicssr115,productlink httpswwwamazoninportronicskonnectdeliverysupportbraideddpbdtnrrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b09klvmz3b,productid bklvmzb
0.0,1.0,0.0,0.0,productnam portron konnect l 12m por1401 fast charg 3a 8 pin usb cabl charg sync function white,productnam portron konnect l m por fast charg a pin usb cabl charg sync function white
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 41,rate
0.0,1.0,0.0,0.0,ratingcount 4768,ratingcount
0.0,0.8,0.2,0.9186,aboutproduct charg sync function cabl come charg data sync functionhigh qualiti materi tpe nylon materi make sure life cabl enhanc significantlylong cord cabl extra thick 12 meter long optim easi use comfort home officemor durablethi cabl uniqu interm design multius posit provid best comfort perform usingunivers compat compat devic like iphon xs x xr 8 7 6s 6 5s ipad pro ipad mini ipad air,aboutproduct charg sync function cabl come charg data sync functionhigh qualiti materi tpe nylon materi make sure life cabl enhanc significantlylong cord cabl extra thick meter long optim easi use comfort home officemor durablethi cabl uniqu interm design multius posit provid best comfort perform usingunivers compat compat devic like iphon xs x xr s s ipad pro ipad mini ipad air
0.0,1.0,0.0,0.0,productlink httpswwwamazoninportronicskonnectpor1401chargingfunctiondpb09klvmz3brefsr116qid1672909124selectronicssr116,productlink httpswwwamazoninportronicskonnectporchargingfunctiondpbklvmzbrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b083342nkj,productid bnkj
0.0,1.0,0.0,0.0,productnam mi braid usb typec cabl charg adapt red,productnam mi braid usb typec cabl charg adapt red
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 44,rate
0.0,1.0,0.0,0.0,ratingcount 18757,ratingcount
0.0,1.0,0.0,0.0,aboutproduct 1m long cabl usb 20 type atoughen jointsstrong sturdycountri origin china6 month warranti,aboutproduct m long cabl usb type atoughen jointsstrong sturdycountri origin china month warranti
0.0,1.0,0.0,0.0,productlink httpswwwamazoninmibraidedusbtypeccabledpb083342nkjrefsr117qid1672909124selectronicssr117,productlink httpswwwamazoninmibraidedusbtypeccabledpbnkjrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b0b6f7lx4c,productid bbflxc
0.0,0.847,0.153,0.4019,productnam mi 80 cm 32 inch 5a seri hd readi smart android led tv l32m75ain black,productnam mi cm inch a seri hd readi smart android led tv lmain black
0.0,1.0,0.0,0.0,categori electronicshometheatertvvideotelevisionssmarttelevis,categori electronicshometheatertvvideotelevisionssmarttelevis
0.0,1.0,0.0,0.0,rate 42,rate
0.0,1.0,0.0,0.0,ratingcount 32840,ratingcount
0.025,0.855,0.12,0.9062,aboutproduct note brand mi xiaomi part multin conglomerateresolut hd readi 1366 x 768 resolut refresh rate 60 hertz 178 degre wide view angleconnect dual band wifi 2 hdmi port connect latest game consol set top box bluray player 2 usb port connect hard drive usb devic allm arc bluetooth 50 ethernetsound 20 watt output dolbi audio dt virtual x dtshdsmart tv featur android tv 11 patchwal imdb integr univers search 300 free live channel kid mode parent lock smart recommend languag univers 15 languag user centr okay googl chromecast suport app netflix prime video disney hotstar 5000 app play store quad core cortex a35 chromecast builtin ok googl auto low latenc mode 1gb ram 8gb storagedisplay hd readi vivid pictur enginewarranti inform 1 year comprehens warranti product 1 year addit panel provid brand date purchas,aboutproduct note brand mi xiaomi part multin conglomerateresolut hd readi x resolut refresh rate hertz degre wide view angleconnect dual band wifi hdmi port connect latest game consol set top box bluray player usb port connect hard drive usb devic allm arc bluetooth ethernetsound watt output dolbi audio dt virtual x dtshdsmart tv featur android tv patchwal imdb integr univers search free live channel kid mode parent lock smart recommend languag univers languag user centr okay googl chromecast suport app netflix prime video disney hotstar app play store quad core cortex a chromecast builtin ok googl auto low latenc mode gb ram gb storagedisplay hd readi vivid pictur enginewarranti inform year comprehens warranti product year addit panel provid brand date purchas
0.0,1.0,0.0,0.0,productlink httpswwwamazoninmiinchesreadyandroidl32m75aindpb0b6f7lx4crefsr118qid1672909124selectronicssr118,productlink httpswwwamazoninmiinchesreadyandroidlmaindpbbflxcrefsrqidselectronicssr
0.0,1.0,0.0,0.0,productid b082lsvt4b,productid blsvtb
0.0,1.0,0.0,0.0,productnam ambran unbreak 60w 3a fast charg 15m braid type c type c cabl smartphon tablet laptop type c devic pd technolog 480mbp data sync rctt15 black,productnam ambran unbreak w a fast charg m braid type c type c cabl smartphon tablet laptop type c devic pd technolog mbp data sync rctt black
0.0,1.0,0.0,0.0,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc,categori computersaccessoriesaccessoriesperipheralscablesaccessoriescablesusbc
0.0,1.0,0.0,0.0,rate 40,rate
0.0,1.0,0.0,0.0,ratingcount 43994,ratingcount
