Date,URL,Review_Title,Author,Rating,Review_text,Review classfication,Rev_Type
Reviewed in India on 13 March 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,Don t think much just buy it  It s best buy for this price point,Abhishek Adhikari,5,  do not think much just buy it  it is best buy for this price point The best keyboard you can buy at this price  do not go for any cheap mechanical keyboards as they can not provide you the experience Logitech stuff can provide  The RGB Lighting is highly customizable with Logitech Gaming Software and different RGB profiles can be made for different applications Pros     Quality of Logitech G series    Highly customizable RGB Lighting    Highly tactile mecha membrane keys    Additional multimedia keys are available    In game mode  selected keys could be blocked Cons     Made of plastic  Could be more sturdy    The RGB zones could have been more smaller and customizable     Of course  it is not mechanical but I would not consider this as I am not paying for mechanical one My last opinion will be if your budget is limited and then just close your eyes and buy it  If you are new to Logitech G series then you will fall in love with it ,genuine,1
Reviewed in India on 23 May 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,Best RGB LED keyboard  just go for it,CHANDAN CHOUDHURY,5,  The best RGB LED keyboard under this price segment  LED sync with G    mouse is very good  Keyboard s button is very tactile and feels great when clicking  Response is very quick  multimedia keys also available which is more helpful for me ,fake,0
Reviewed in India on 27 October 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,Great entry level gaming keyboard ,Harsh Sharma,5,  Update      Nov   AVOID if you are gamer  The keys got stuck and need more pressing power and its irritating while playing FPS games  Go for better MX switch keyboard  I just replaced it with Corsair K   and feels a huge difference OLD Comment The keyboard is good for gaming and it feels like you are using MX buttons but has membrane  Soft touch feels good when press Small buttons but easy to use  Synced with mouse ,genuine,1
Reviewed in India on 3 May 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,You can download the Logitech app for free and customise your colours The feel is just sensational The keyboard is really good and has a nice strong cable too which is    ,sanjay singh,5,  This keyboard is A M A Z I N G   You can download the Logitech app for free and customise your coloursThe feel is just sensationalThe keyboard is really good and has a nice strong cable too which is long enoughThe colours can be set up for different sectors of the keyboardThe best part of it is it is game mode setting which is really helpfulIt also has volume and mute buttons on it and is very stylishbest keyboard I have ever purchased and is awesome for its price,genuine,1
Reviewed in India on 6 October 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,THE BEST BUDGET KEYBOARD,Shaheen Ali,5,  Your browser does not support HTML  video   This is a stealA brilliant RGB keyboard for BEGINNERS in gaming  I would reccomend this to all who are thi king to buy a gaming keyboard under        with RGBCOMPETITORS   Cosmic byte  my friend owns one but that does not look that nice but is a mechanical one that too under      but i do not think i will reccomend you cosmic byte  HyperX  A brilliant keyboard but sadly only red backlightingPROS   Logitech G hub customization   Brilliant RGB   Mechanical feel   Palm rest   From a well know brandCONS   Not a mechanical oneAfter  hr of useThis is a superb keyboard for BEGINNERSJust  go for it     ,genuine,1
Reviewed in India on 8 February 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,Entry RGB Keyboard,Muthamil Selvan,4,  Pros   Feels good to type   Build quality is nice  easy media access keys  Keyboard stand is good  Spill proof aswellCons   RGB not providing      customizations   caps num  indication light is very bright than the other keys which may disturbe at night   it is a fairly big keyboad   Matt finish and can get dirty so easly  ,fake,0
Reviewed in India on 22 October 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,It s not mechanical so less noisy ,Aashutosh Chakrapani,5,  Your browser does not support HTML  video   I bought this KB for my laptop since i was not happy gaming with the keyboard that came with it  The g    has done a pretty great job so far since I have used it for almost   months now  I specifically wanted a memberane budget keyboard with RGB and this is amazing for my use  As it has been mentioned it is spill proof  I have spilt coffee several times while using and it has not given me any problems since the keycaps are vacuum sealed  Keys can be removed with some effort  This thing is durable enough for the price  If you are looking for a good memberane KB  this is it ,genuine,1
Reviewed in India on 5 November 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,Highly recommended,Taaksh ,5,  Logitech s build quality Most responsive membrane keys I have used   Keys are quick and responsive for typing fast as well as gamingSoftware options for function keys   game mode etc  Subtle RGB with   zones   its very practical for gaming   work and zones do not leak to other parts   see picture RGB options in software Media buttons Lights for caps lock   num lock   scroll lock   game mode   see picture Key caps Braided cable ,fake,0
Reviewed in India on 6 November 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,Swapped a Corsair K   for this,thinkdj,5,  Initially got a K    but switched to this  mainly because I am super comfortable with the the key positions on Logitech keyboards  K   has an additional set of keys on the left  which makes intuitive actions like hitting ESC  TAB etc   left most keys  confusing  especially for people who are  used  to a standard keyboard layout Extremely happy with the quality of Logitech G Prodigy G     Lighting matches perfectly with my chassis and mouse  also Prodigy ,genuine,1
Reviewed in India on 3 March 2021,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,Gaming  typing and what you want    perfect ,Ali Ahmad,5,  after using it  moths i write this           nice product    build quality is perfect key is awesome     easy to handle         design is also perfect          i experienced the good performance from it     for the budget and entry level this one is perfect compare to other entry level mechanical keyboard      or any brand        so if your budget allow on this price go for it      do not go for the cheap  mechanical because you will get disappointed from those cheap mechanical keyboard    ,genuine,1
Reviewed in India on 1 February 2017,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,and you have a small range of rgb effects which you can customize easily you also have Game Mode,Amazon Customer,5,  It comes with a Braided Cable which is stronger than your non braided cableskeys are actually faster than a normal membrane keyboard and you will feel the difference instantlykey LEDS r bright but brightness cannot be changed from the keyboard itself  you will have to use Logitech Gaming Softwarein the software you can set up macros  and you have a small range of rgb effects which you can customize easilyyou also have Game Mode  Media Keys  and a button for turning LEDs on and offThe build quality is amazing   it looks and feels premiumWrist rest works but is non detachableIt has Anti Ghosting so pressing multiple keys is not an issueOverall Its Worth The Money ,genuine,1
Reviewed in India on 10 April 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,Average product ,SINGH,3,  Working fine till now   rgb is good   keys are responsive Review updated     August     Bought in feb      For the past couple of months  left shift key has started to stuck sometimes while pressing  which significantly hinders gaming performance  Emailed Logitech support  they usually reply back in   weeks and they told me to do some basic troubleshooting methods like cleaning and all  which did not solve the issue obviously ,genuine,1
Reviewed in India on 7 October 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,Best choice for Beginer Gamers,REZR,5,  This Keyboard is a perfect balance of reliability  and performance It as actuation force of    g and a  mm of travel distance so key press are smooth and instantly registered  it comes handy in CSGo and other esports the RGB is for the keys only and not backlite but it is not a deal breaker with the Ghub software you can control the RGB lighting al though there are only   patterns it does the trick for me       would recommend ,genuine,1
Reviewed in India on 9 January 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,Just go for it,Rajkamal_S,5,  Your browser does not support HTML  video   RGB is awesome  RGB led is not too much  you will not have any trouble sitting in a dark room watching movie with keyboard lights on  Light shines through the alphabets only so no light spill Keys are good  remember they are rubber dome keys  and they are much better than a normal keyboard  you will feel uncomfortable typing on normal keyboard after using this for a while I do not game a lot      hours a week  but I can assure you that this keyboard is built well  I use them for work a lot  lot more than i do for gaming   those macros can do wonders  I just love the macros ,genuine,1
Reviewed in India on 1 December 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,A really good keyboard for the  k bracket ,RAJ SHEKHAR,5,  PROS     Very comfortable to type and game with  key travel and responses are very good    Good sturdy build    Some youtubers said its quite noisy  but trust me  it is not    The media shortcuts like volume controls  pause and forward buttons work wonders    The lighting according to me is excellent  It is not very flashy and its t dull either    The sweet sounds on the key press  Love it    The palm rest   You can work long hours with this keyboard without getting your hands tired up and aching CONS     The keyboard is a little big than the standard ones    Some people said that it gets worn off after an year of use or so  something to keep in mind that is all i have to say about this keyboard at this point  I would really recommend this product to people who are into typing for long hours or gaming  and have a price constraint of  k bucks ,genuine,1
Reviewed in India on 28 October 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,So far so good,Rajesh,5,  Had this keyboard for    days now  and I have to say that I am fairly satisfied  The build quality is pretty sturdy  and the keyboard is pretty satisfying to type and game on  Some things I have noticed   The keys are not quite as soft as your usual membrane laptop keyboard  but not as clicky as a mechanical keyboard either   The wrist rest  while hard  is quite comfortable to use  and I have not had any pain or stiffness in my hand after long hours of use   The lighting is not very bright  and does not have any brightness controls  The only control on the board itself is to turn the lights on or off  and any further customization needs to be done via Logitech s G Hub  Another note is that the colors are not near as vivid as on my G    mouse  but that is quite acceptable given the pricing range   The build is pretty sturdy  with minimal deck flex  The braided cable is also a rather nice touch   My only gripe is that the lock key lights are about twice as bright as the keyboard s own backlighting  which does not make much sense Other than that  there is not much else to say  it is a pretty good board at this price point  and at least presently  I would recommend it  I will update this review in case I notice any issues down the line ,genuine,1
Reviewed in India on 19 October 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,Superb Keyboard,adplus12,5,  This is a great keyboard  The keys have the height and travel of the mechanical keyboard  but are super smooth on impact  It kind of gives you best of both sides   mechanical and membrane It has very good RGB lighting under the keys  No light bleed like other cheaper RGB keyboards  Also  the keys are perfectly legible  in white  even when the RGB is turned off I only wish this was a bit cheaper  May be around the      mark  All in all  a great buy ,genuine,1
Reviewed in India on 11 May 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,Value for money ,Juhi,5,  Works well with my Mac book pro      You need to change the keyboard configarations and get used to the windows key vs command key The keys are soft and there is almost no noise no matter how you hit hard I am not much into the RGB lighting so customisation of the rgb dosent matter to me  I am using this for programming so no issues with that so far ,fake,0
Reviewed in India on 6 January 2021,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,Nice keyboard,Hari,5,  I was in doubt whether to go for a mechanical keyboard or this one  Happy that I made correct decision  RGB colors are pleasant and the Logitech G hub software is very useful  Someone in their review that mentioned that the keys are stiff which made me think a lot before buying  It might be a problem with that particular keyboard  Typing is very comfortable and requires very little force to actuate ,fake,0
Reviewed in India on 5 June 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,Very Good Product,Sidharth Singh,4,  Awesome product  While buying you should know that it is not mechanical  Keys are very light to touch  Wire is decently long  I do not like the part where you can see the led under the keyboard  It takes away the feel  The hand rest is good but not great and can be a bit uncomfortable at times  Sadly you cannot detach it  Though it depends on person to person  Keys are so light to touch that it is a breeze while typing but can be a bit annoying in games if not used to  I got this product at     k in lighting deal so good deal for me ,genuine,1
Reviewed in India on 5 March 2017,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,Worth The money must buy,Anirudh Ganesh,5,  Best keyboard ever it is not a mechanical keyboard but it sure feels like one it is worth the price it is built quality is also awesome and it have a lot of colours and patterns you can choose from it even have      macro keys so you can customise them to what you need the skip track and increase decrease volume button are key and this keyboard has them,fake,0
Reviewed in India on 7 July 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,A great membrane keyboard for      ,DIVYA KUMAR SINGH,5,  it is a great Membrane keyboard which efficiently mimics the sound effect of a Mechanical keyboard  Media controls  backlit buttons  and customization are great options to have  you will benefit from the Logitech G Hub software if you have a Logitech mouse also  which eliminated the need of having another software in your PC Laptop Palm rest is good but it will take a lot of space on your table  Logitech reliability factors are a huge bonus  so it is unfair to compare this product with other so called cheap Mechanical keyboards  ,genuine,1
Reviewed in India on 25 February 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,An awesome keyboard  ,Aman singh,4,  The keyboard is a subtle product that reminds you now and then that it has an amazing response time rather wasting around  k inr on wannabe mechanical keyboard go with this keyboard and I assure you that it will not be a let down at all keys are spaced amazingly and happens to have media control buttons as well for quick toggle for mute and unmute and remember that it is a membrane keyboard so do not get ready with your pitchforks out ,genuine,1
Reviewed in India on 12 November 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,A Sturdy Good Looking and easy to use Keyboard,bluishshadow,5,  Please see the below pros and cons Pros    Good build quality   Color customizarion is present   Keys can be reprogramme   Key shape and alignments and placement of Multimedia are efficientCons    Haptic feedback is there but not like mechanical keyboards though after some days it will be fun to use ,genuine,1
Reviewed in India on 24 August 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,Very close to mechanical keyboard,Anoop,4,  Pros    Spill and dust proof    Key press is beautiful and responsive just like mechanical keyboard except noisy sound    Logitech software allow you to map the any key to perform any task    Very good touch for keyboard for the price   Durable cableCons    I would like to map keys for specific software on foreground not just games  I did not find option for it    Light are little dim    Big keyboard    Poor packaging   Amazon Prime this is one you Overall  Value for money keyboard for under  k Suggestion A compact keyboard without numeric keys would be awesome ,genuine,1
Reviewed in India on 24 January 2018,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,Awesome but,afzalhamdulay,4,  The keyboard is awesome  But i am deducting   star because you can not fix a specified color on keyboard without the logitech software  Your laptop or pc should have the logitech software installed to get that specific color otherwise it always reboots into default mode   The software must give us the option to change the default light mode in next update maybe  And also its a little bit expensive   ,genuine,1
Reviewed in India on 30 January 2021,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,Can t control keyboard brightness and G Hub sync issues,Rajat Pandit,3,  The keyboard itself is fine when used as a normal keyboard but there is no need to pay a premium price for this when we can not control keyboard key brightness Logitech G Hub software is an utter disappointment in its own  It has half baked features and it is unable to consistently sync lights between G    and G     both start with same color and after sometime both will be displaying different colors It is even more frustrating that there is almost no information on internet regarding above mentioned points ,genuine,1
Reviewed in India on 20 October 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,the overall build and the feel is amazing,Vin,5,  Your browser does not support HTML  video   this keyboard  at first seemed expensive but once i started using  everything changed  its really good  the RGB lights are nice and bright  i really love how the texture feels  I am sure its going to go away after usage but for now  really enjoying the touch and feel of the entire keyboard ,genuine,1
Reviewed in India on 26 September 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4, amazing keyboard for everything  ,Nathan kumar,5,  Great keyboard for gaming  works well with CS GO  fortnite and pretty much every single game  The      million colors give you tons of options to customize   zones of the keyboard   never spilt water over it however I would not recommend doing that even if it is spill proof   it feels like a mechanical keyboard honestly  totally worth the buck to get on sale for      if higher please go for something else as some good mechanical keyboards are available for            the mecha dome switches by Logitech give you a good typing experience as well  however you can not change or customize the keycaps and remember it has in built media keys which work on everything Spotify  Netflix and even youtube you can sit back and enjoy   it is well illuminated in the dark and in the day it is just visible  only the alphabets have RGB  it does not have a backlight   you get   years warranty on it so that is another plus factor  inclination of   to raise the height it is almost     kgs even though it is made of plastic  it has an anti slip grip and it has minimal deck flex if ur a key smasher overall it is best for all purposes only downside is the wrist rest as it is not detachable however the wrist rest is pretty clean on it  it does take alot of desk space so check the product dimensions before buying it,genuine,1
Reviewed in India on 13 February 2021,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,This is a membrane keyboard not mechanical keyboard ,Aman Kumar,5,  I bought this gaming keyboard at       INR you can definitely at a lower price during the sale  I order this product on  th Feb at        INR and it is was going to deliver on   th Feb after two days the price dropped to       INR and I got the product on the   th Feb only  Anyway  this keyboard is amazing it is not mechanical it is a membrane keyboard Now you will ask what is the difference between mechanical and membrane keyboards Mechanical keyboards provide much more direct feedback to the user  While a membrane key cap presses down on a thin membrane layer  to a conductive circuit underneath  a mechanical keyboard has spring loaded switches instead But I like it if the product is good then I do not care if it is mechanical or membrane  It is really good for gaming and daily use  But I do not know why anyone will buy this for daily use ,genuine,1
Reviewed in India on 7 June 2020,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=5,Logitech G    RGB   Gaming and Work Purpose use review,Ayan Malik,5,  Amazing Product from Logitech at       First of all the RGB is really sick with   light effects and also you can adjust the lighting speed  Secondly the Palm Rest which makes this keyboard looks a manly thing  Then the keystrokes are so smooth and the key stroke sounds soothes your ears  I play games on this keyboard e g  Warzone  Apex and some other story games also I use for work  Love this product  Also it has game mode and in keyboard music control keys  Just buy it you will definitely love it ,genuine,1
Reviewed in India on 13 February 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=5,Read mine others are boring  ,Millen Roy,5,  I did not go for the mechanical carbon rgb because you can hardly feel any better using that plus it doest have wrist rest media keys and the sick rgb on off switch so this is ideal and more value for money and trust me if you think that will last longer you are right but some more advanced and awesome new trend keyboards will come out and you will upgrade for sure   ,fake,0
Reviewed in India on 2 March 2021,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=5,The best of its kind,Shanmugam,5,  Your browser does not support HTML  video   Reading all the review down below will confuse you definitely      But one thing i can assure this is the best product if you need passthrough light in a keyboard       Customisation you can do is a ton    you have many features      After    days of hard usage i can not even find a small mistake  or glitch aor any allingment issues     In this budget it is damn worth it       You can go for it BLINDly    Detailing in the cable is next level     And very strong braided cable  its like a wollen rope that strong when compared to normal braided cable      I suggest it to people coz i already used reddragon corona lots of bugs   ant e sports rgb keyboard with lots of lightning issues   zebronics transformer dosent have pass through light    But half the price        So i suggest this g    is the best,genuine,1
Reviewed in India on 28 February 2019,https://www.amazon.in/Logitech-Prodigy-G213-Gaming-Keyboard/product-reviews/B01K48R5V4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=5,Left shift key,Klown_I,3,  after  yr  of use left shift key has become very stiff  it is has become very hard to press  tried cleaning it with no success ,genuine,1
