Text,Hybrid_Classification,Genuine_Fake,Precision,Recall,F1 Score,Accuracy
0.0 0.488 0.512 0.6369 summari best hot sauc world,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.328 0.672 0.6249 summari great machin,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari tast,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.417 0.583 0.6369 summari best instant oatmeal,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.408 0.592 0.4404 summari good instant,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.494 0.506 0.6249 summari great irish oatmeal hurri,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari satisfi,Neutral,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.286 0.714 0.8176 summari love gluten free oatmeal,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari oatmeal,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.58 0.42 0.4404 summari good way start day,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari wife favorit breakfast,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.594 0.406 0.6249 summari wouldnt buy oatmeal mcann tast great,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.441 0.559 0.5859 summari oatmeal oatmeal lover,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari foodgreat,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.508 0.492 0.4404 summari good hot breakfast,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.423 0.577 0.6249 summari great tast conveni,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari hearti oatmeal,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.256 0.744 0.4404 summari good,Positive,Fake,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 1.0 0.0 0.0 summari mushi,Neutral,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
0.0 0.707 0.293 0.4404 summari good next time wont order varieti pack,Positive,Genuine,0.7738852124190074,0.7483761199855474,0.7334634319796218,0.9112884393512563
